100001,20000001,12345,Air Compressor,50,5000
100002,20000001,12345,Air Compressor,70,5000
100003,20000001,12345,Air Compressor,100,5000
100004,20000002,12346,Remotely Operated  Via,55,6000
100005,20000002,12346,Remotely Operated  Via,550,6000
100006,20000003,12347,Towable Video Camera,300,7000
100007,20000003,12347,Towable Video Camera,500,7000
100008,20000003,12347,Towable Video Camera,43000000,7000
100009,20000004,12348,Marine super vhs vi,4100,8000
100010,20000004,12348,Marine super vhs vi,1400,8000
100011,20000004,12348,Marine super vhs vi,3400,8000
100012,20000005,12349,Dive computer,9100,8880
100013,20000005,12349,Dive computer,9050,8880
100014,20000005,12349,Dive computer,900,8880
100015,20000006,12340,Under Water Dive veh,2300,7500
100016,20000006,12340,Under Water Dive veh,1300,7500
100017,20000007,12344,Stabilizing vest,3800,6000
100018,20000007,12344,Stabilizing vest,7100,6000
100019,20000008,12343,Under water Metal Det,7600,7500
100020,20000008,12343,Under water Metal Det,6300,7500






